cluster_id,size,samples
0,36,"[29, 42, 50, 82, 96, 96, 170, 170, 266, 323, 327, 328, 332, 357, 360, 363, 363, 368, 382, 384, 394, 395, 395, 403, 403, 404, 404, 406, 406, 407, 407, 408, 408, 457, 458, 459]"
1,42,"[2, 4, 13, 58, 58, 87, 87, 104, 156, 156, 317, 319, 319, 331, 331, 336, 337, 342, 345, 346, 346, 353, 353, 380, 380, 385, 386, 386, 388, 409, 410, 412, 412, 414, 414, 425, 425, 461, 462, 464, 468, 563]"
2,620,"[0, 3, 5, 6, 6, 7, 7, 8, 9, 9, 10, 11, 12, 14, 14, 15, 16, 17, 17, 18, 18, 19, 19, 20, 20, 21, 21, 22, 22, 23, 23, 24, 24, 25, 25, 28, 28, 30, 30, 31, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 43, 44, 45, 45, 46, 46, 47, 47, 48, 49, 51, 52, 52, 53, 54, 54, 55, 56, 57, 59, 60, 60, 61, 62, 63, 63, 64, 64, 65, 65, 66, 66, 67, 67, 68, 69, 70, 70, 71, 72, 72, 73, 73, 74, 75, 75, 76, 77, 78, 80, 80, 81, 81, 83, 83, 84, 85, 86, 88, 88, 90, 90, 91, 91, 92, 92, 93, 94, 94, 97, 98, 99, 100, 101, 101, 102, 103, 105, 105, 106, 106, 107, 108, 109, 109, 110, 110, 111, 111, 112, 112, 113, 114, 115, 115, 116, 117, 117, 118, 119, 119, 120, 121, 121, 122, 122, 123, 124, 124, 126, 127, 128, 128, 129, 129, 130, 131, 131, 132, 133, 133, 134, 136, 136, 137, 138, 138, 139, 140, 142, 142, 143, 143, 144, 145, 146, 146, 147, 148, 149, 149, 150, 150, 151, 151, 152, 153, 153, 154, 155, 157, 158, 159, 160, 160, 161, 162, 163, 165, 165, 166, 167, 168, 169, 172, 173, 174, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 189, 190, 190, 191, 192, 193, 194, 194, 195, 195, 196, 196, 200, 207, 210, 213, 221, 223, 225, 229, 229, 230, 231, 232, 238, 241, 241, 242, 243, 244, 246, 246, 247, 248, 249, 252, 254, 258, 258, 259, 260, 261, 265, 265, 268, 268, 270, 275, 276, 277, 277, 278, 279, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 296, 297, 298, 299, 300, 300, 301, 302, 302, 303, 303, 304, 305, 305, 306, 306, 307, 307, 308, 308, 309, 310, 310, 311, 312, 313, 314, 314, 315, 315, 316, 318, 318, 320, 320, 321, 321, 324, 324, 325, 325, 329, 330, 333, 333, 335, 335, 339, 339, 340, 340, 341, 343, 343, 347, 348, 349, 349, 351, 352, 356, 358, 359, 359, 361, 361, 362, 362, 364, 364, 365, 365, 366, 369, 369, 370, 372, 372, 373, 373, 374, 377, 377, 381, 381, 383, 387, 387, 389, 392, 392, 393, 398, 399, 399, 402, 405, 405, 411, 411, 415, 416, 418, 418, 420, 421, 422, 423, 426, 430, 430, 431, 432, 433, 433, 434, 435, 436, 437, 438, 439, 440, 441, 441, 442, 443, 444, 445, 446, 446, 447, 448, 448, 449, 449, 450, 451, 452, 453, 454, 455, 456, 456, 460, 463, 465, 466, 467, 467, 469, 470, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 491, 492, 494, 495, 496, 497, 498, 499, 500, 500, 501, 501, 502, 502, 503, 504, 505, 506, 507, 508, 509, 511, 512, 513, 513, 514, 514, 515, 516, 518, 519, 520, 521, 522, 522, 523, 524, 525, 526, 527, 528, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 545, 546, 547, 547, 548, 549, 549, 550, 551, 552, 553, 554, 555, 556, 557, 557, 558, 558, 559, 560, 560, 561, 562, 565, 566, 568, 569, 569, 571, 572, 573, 576, 579, 580, 582, 583, 584, 585, 585, 587, 589, 589, 590, 591, 591, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 606, 607, 608, 609, 609, 610, 611, 612, 613, 615, 616, 617, 617, 618, 619, 619, 620, 620, 621, 621, 622, 622, 623]"
3,16,"[125, 125, 322, 326, 326, 338, 350, 350, 354, 355, 391, 391, 397, 397, 417, 419]"
4,11,"[204, 204, 206, 206, 237, 237, 253, 256, 256, 280, 280]"
5,24,"[95, 95, 344, 344, 367, 367, 371, 371, 375, 375, 376, 378, 378, 379, 396, 400, 400, 401, 401, 413, 424, 427, 428, 428]"
6,8,"[202, 202, 203, 203, 214, 233, 234, 260]"
7,74,"[171, 197, 197, 198, 198, 199, 201, 201, 205, 205, 208, 208, 209, 209, 212, 215, 216, 217, 217, 218, 219, 220, 222, 224, 224, 226, 226, 227, 227, 228, 228, 235, 235, 236, 236, 239, 239, 240, 245, 250, 250, 251, 257, 262, 263, 264, 267, 269, 271, 271, 272, 272, 273, 273, 274, 274, 493, 510, 517, 517, 564, 564, 567, 567, 570, 574, 575, 577, 578, 581, 581, 586, 586, 588]"
8,4,"[1, 135, 429, 429]"
9,5,"[79, 79, 89, 89, 141]"
10,4,"[211, 255, 614, 614]"
